# x_1,x_2,Class_label
-1.00992062e+02,-2.84096633e+02,1
-5.80031851e+01,-1.76312446e+02,1
-8.46493040e+01,-1.76170101e+02,1
-9.50096255e+01,-1.61234405e+02,1
1.16565418e+02,-1.05445356e+02,2
1.33728895e+02,-1.95472583e+02,2
1.70595258e+02,-2.23977071e+02,2
1.27347009e+02,4.58874654e+02,0
1.24049823e+02,-1.47913873e+02,2
9.51403848e+01,6.22470923e+02,0
-7.73006039e+01,-3.23321009e+02,1
1.30705802e+02,-1.03902513e+02,2
1.33067959e+02,-2.35863769e+02,2
-7.81939414e+01,-2.51984680e+02,1
1.25183311e+02,-1.06425645e+02,2
1.33029122e+02,4.60526673e+02,0
-1.15111352e+02,-2.24596439e+02,1
-1.33454902e+02,-3.46299559e+02,1
1.20856775e+02,5.12872781e+02,0
-1.22094763e+02,-8.04010541e+01,1
1.29457553e+02,4.68880244e+02,0
1.01238490e+02,-2.47969068e+02,2
-8.61580566e+01,-2.78660697e+02,1
-9.67877502e+01,-3.14811029e+01,1
1.13863863e+02,-1.79067394e+02,2
1.67617534e+02,-2.00250712e+02,2
1.24950176e+02,-1.03526301e+02,2
1.41641200e+02,-2.55119557e+02,2
1.13115541e+02,-1.35050306e+02,2
1.12038872e+02,5.13811327e+02,0
1.66185976e+02,-1.49261599e+02,2
1.22478358e+02,4.68978196e+02,0
1.67495543e+02,-2.37436501e+02,2
1.30207123e+02,-2.31821450e+02,2
1.59101017e+02,-2.37474612e+02,2
1.18461416e+02,-2.13165512e+02,2
1.40702902e+02,-1.97027727e+02,2
1.25530286e+02,4.94598367e+02,0
1.03839228e+02,-1.19545063e+02,2
1.45335882e+02,4.05138683e+02,0
1.25326737e+02,4.83732330e+02,0
1.11122826e+02,-1.41059640e+02,2
-1.82360025e+02,-2.82159472e+02,1
-1.18594217e+02,-2.41160557e+02,1
-1.17635775e+02,-7.66825058e+01,1
1.55082317e+02,-1.80613462e+02,2
1.44096946e+02,3.88883076e+02,0
1.66009137e+02,-1.44785891e+02,2
-1.20016708e+02,-1.03817638e+02,1
-6.98670022e+01,-1.96570419e+02,1
1.19282509e+02,-2.73511924e+02,2
1.80234826e+02,-2.07781970e+02,2
1.33154527e+02,-1.93607351e+02,2
1.28092270e+02,4.74654097e+02,0
1.21362894e+02,5.11234308e+02,0
1.75137900e+02,-2.91583706e+02,2
1.89573243e+02,-1.90075869e+02,2
1.39075597e+02,4.20061984e+02,0
1.53759634e+02,-1.50637734e+02,2
1.30413899e+02,4.59900084e+02,0
1.35691025e+02,4.23463748e+02,0
-1.13025762e+02,-2.27283114e+02,1
1.30489292e+02,-2.08750320e+02,2
1.41233446e+02,-2.23169054e+02,2
1.37336387e+02,-2.14752574e+02,2
1.18093488e+02,-1.82088300e+02,2
1.33022715e+02,4.36154080e+02,0
1.44851975e+02,4.10214944e+02,0
1.15109844e+02,5.18349690e+02,0
1.36969596e+02,4.24369379e+02,0
-9.93278841e+01,-9.62438648e+01,1
1.23959826e+02,-1.57998959e+02,2
-1.47503403e+02,-3.68433002e+02,0
1.25636720e+02,-2.56178889e+02,2
-6.92458990e+01,-1.04389162e+02,1
1.28432377e+02,4.70168553e+02,0
-8.25998363e+01,-2.37119714e+02,1
1.49748062e+02,3.43898469e+02,0
1.98819280e+02,-3.06868413e+02,2
1.21025041e+02,-1.09788842e+02,2
-8.98638659e+01,-1.11838041e+02,1
1.12924548e+02,5.37222257e+02,0
1.33705979e+02,4.45389316e+02,0
-8.26016351e+01,-2.83089763e+02,1
-6.83860942e+01,-3.22906772e+02,1
1.47603819e+02,-1.86384153e+02,2
-1.37158229e+02,6.14349156e+01,1
1.11683287e+02,5.73907538e+02,0
-9.38373918e+01,-8.52313482e+01,1
1.29609351e+02,4.77221744e+02,2
1.17181811e+02,-1.26554384e+02,2
-8.87546894e+01,-2.95946712e+02,1
1.12303674e+02,5.33373865e+02,0
9.60805186e+01,-1.82360710e+02,2
-8.36955086e+01,-1.49707275e+02,1
1.33598260e+02,4.54183011e+02,0
1.49648351e+02,3.15805980e+02,0
-1.99657553e+01,-2.42811389e+02,1
-7.18485284e+01,-1.66014794e+02,1
9.42929690e+01,-1.63214767e+02,2
1.47137482e+02,3.89247958e+02,0
1.37653306e+02,3.94423043e+02,0
-1.34732390e+02,-4.81201267e+02,1
1.28299171e+02,-1.77544040e+02,2
1.32175250e+02,-1.55217348e+02,2
1.11420399e+02,6.13317391e+02,0
-8.55707309e+01,-2.17345679e+02,1
-1.05603966e+02,-7.37673774e+01,1
1.53170858e+02,3.57409924e+02,0
1.29948935e+02,4.63692183e+02,0
1.39601297e+02,-1.96067305e+02,2
1.24314526e+02,5.13945150e+02,0
-9.25984003e+01,-2.52364875e+02,1
1.57670550e+02,-2.52322944e+02,2
1.59674182e+02,-1.65707443e+02,2
-7.14064783e+01,-1.15903954e+02,1
1.48438076e+02,-3.19011568e+02,2
1.47409263e+02,-1.89620917e+02,2
1.56065759e+02,3.18741690e+02,0
-1.36317784e+02,-3.24507997e+02,1
1.23483842e+02,4.77552930e+02,0
1.19659139e+02,-1.67065977e+02,2
1.44620591e+02,-2.16032468e+02,2
1.47034556e+02,3.68466298e+02,0
1.21348975e+02,5.02225040e+02,0
-1.01818045e+02,-1.42003788e+02,1
1.35579750e+02,4.18036258e+02,0
-1.04730932e+02,-2.36886539e+02,1
-5.84870049e+01,-2.40233801e+02,1
1.63953357e+02,-1.60490054e+02,2
-9.69380859e+01,-2.31155515e+02,1
1.32562462e+02,4.62643789e+02,0
1.12788695e+02,-2.34738347e+02,2
1.77985806e+02,-1.48316480e+02,2
-1.14214556e+02,-1.73358842e+02,1
1.61043314e+02,-2.38267586e+02,2
1.35557428e+02,4.35268133e+02,0
1.41609448e+02,-2.73897080e+02,2
1.64105928e+02,-1.83063835e+02,2
-9.84722695e+01,-1.66146891e+02,1
1.23823922e+02,5.24630073e+02,0
1.28980587e+02,4.64256061e+02,0
-1.67276554e+02,-7.48238082e+01,1
-5.72838663e+01,-1.39039020e+02,1
-1.35519024e+02,-3.32438291e+02,1
-8.76301635e+01,-4.02072694e+01,1
1.14757099e+02,5.16687657e+02,0
-1.20788132e+02,-3.55160107e+02,1
1.48398464e+02,3.38725734e+02,0
1.45593754e+02,-1.71163533e+02,2
1.46807773e+02,3.58066162e+02,0
-7.11677601e+01,-2.19458758e+02,1
1.29783848e+02,-2.38152750e+02,1
1.29448881e+02,4.67786767e+02,0
1.38039953e+02,4.29928633e+02,0
1.42169378e+02,4.01818014e+02,0
1.33189785e+02,4.53504945e+02,0
1.35222583e+02,4.51503424e+02,0
-1.39747755e+02,-2.95087745e+02,1
1.47497043e+02,-1.42766636e+02,2
1.21885726e+02,4.91645686e+02,0
1.44872520e+02,-2.08297935e+02,2
1.15766625e+02,-2.12634246e+02,2
1.42447813e+02,3.93434166e+02,0
1.35201986e+02,-1.85167044e+02,2
-4.28063993e+01,-1.87901016e+02,1
-8.00035593e+01,-1.56172823e+02,1
1.35082675e+02,4.15577583e+02,0
-9.78969047e+01,-1.35509702e+02,1
1.72068024e+02,-2.02995531e+02,2
-1.13307660e+02,-2.66447768e+02,1
1.18239315e+02,5.02580279e+02,0
1.36423993e+02,4.25069405e+02,0
-6.73839343e+01,-2.82994752e+02,1
1.01843393e+02,-1.21357906e+02,2
1.41838986e+02,-2.31695866e+02,2
1.34144622e+02,4.65992535e+02,0
-1.77737484e+02,-2.65404718e+02,1
1.31044065e+02,-1.58405510e+02,2
-9.49301846e+01,-1.61789533e+02,1
1.45294245e+02,3.87496990e+02,0
1.11087412e+02,5.68800708e+02,0
-9.68228671e+01,8.90683707e+00,1
-7.95033288e+01,-1.16091057e+02,1
1.46223872e+02,3.85840986e+02,0
-6.85487907e+01,-1.47082556e+02,1
1.17434603e+02,4.94995918e+02,0
1.00711794e+02,-2.14511325e+02,2
8.87052850e+01,-1.56325983e+02,2
-7.54778227e+01,-1.03315001e+02,1
1.52950530e+02,-1.83882690e+02,2
1.36762711e+02,4.30374805e+02,0
-1.13196292e+02,-1.30613067e+02,1
-7.89864249e+01,-2.79397815e+02,1
-1.17350004e+02,-2.25502808e+02,1
1.59273322e+02,-1.53941464e+02,2
1.23889362e+02,4.66862938e+02,0
1.23599226e+02,-2.40876790e+02,2
1.12970529e+02,-1.57163217e+02,2
-6.09381991e+01,-1.93576257e+02,1
-6.80309813e+01,-2.25180744e+02,1
-1.14919723e+02,-2.51803157e+02,1
1.58472831e+02,-2.56521866e+02,2
-1.45229331e+02,-1.94294750e+02,1
1.24641827e+02,-1.34442398e+02,2
1.05437184e+02,-2.20993809e+02,2
-8.16766212e+01,-1.54067598e+02,1
1.49538275e+02,3.82132583e+02,0
-9.39072444e+01,-1.66566277e+02,1
-7.15998760e+01,-1.32035639e+02,1
-7.89199439e+01,-2.54422475e+02,1
-1.36517026e+02,-2.73722121e+02,1
1.27822568e+02,4.82361954e+02,0
-5.90947538e+01,-1.25567651e+02,1
1.41502013e+02,-1.86797912e+02,2
1.13957511e+02,5.58188699e+02,0
-1.02085271e+02,-1.63023783e+02,1
-1.15495788e+02,-1.32953876e+02,1
1.44192490e+02,3.78394600e+02,0
-1.45916564e+02,-3.07409136e+02,1
-1.23520583e+02,-3.44448247e+02,1
1.20861621e+02,5.13317637e+02,0
1.20618139e+02,5.35457592e+02,0
-9.76242348e+01,-1.80710384e+02,1
1.35569529e+02,-2.30801290e+02,2
1.30265019e+02,-1.75955652e+02,2
-1.55120964e+02,-2.23688817e+02,1
1.60445031e+02,-1.87190061e+02,2
-7.76936529e+01,-1.32776520e+02,1
-6.11663991e+01,-8.75814314e+01,1
1.99655697e+02,-2.61749410e+02,2
1.43440707e+02,-2.17339587e+02,2
1.33502951e+02,-2.46256186e+02,2
1.22893485e+02,4.74860386e+02,0
1.23555843e+02,-1.95689418e+02,2
1.32779232e+02,4.58943082e+02,0
1.37727911e+02,-2.01076482e+02,2
1.35878953e+02,4.29500888e+02,0
1.39513450e+02,-2.08315542e+02,2
1.28718640e+02,4.82850684e+02,0
-1.31280404e+02,-1.76955327e+02,1
1.19033574e+02,-1.32858119e+02,2
1.48146814e+02,-2.41501500e+02,2
1.54906725e+02,-2.50867762e+02,2
-1.33152889e+02,-2.36092256e+02,1
1.51495253e+02,3.46129816e+02,0
1.51313983e+02,-2.53932352e+02,2
1.28981308e+02,4.71060373e+02,0
-9.78228033e+01,-1.30716723e+02,1
1.36700633e+02,-1.78314799e+02,2
-1.53063421e+02,-2.33125660e+02,1
1.39698373e+02,4.38564610e+02,0
1.18847482e+02,5.41093243e+02,0
1.40114140e+02,3.89441408e+02,0
1.22017044e+02,-2.05004708e+02,2
1.56929955e+02,-1.56979229e+02,2
-6.23203153e+01,-1.36992156e+02,1
-1.33425372e+02,-2.69893223e+02,1
1.32950253e+02,4.40989389e+02,0
-1.08200131e+02,-3.83982478e+02,1
-7.49977394e+01,6.35365886e+01,1
1.13066683e+02,-1.11060214e+02,2
1.19419633e+02,5.43257364e+02,0
1.39112559e+02,4.18648088e+02,0
8.46774650e+01,-1.45662323e+02,2
1.45347446e+02,3.83464598e+02,0
1.84024946e+02,-1.83629447e+02,2
-7.20744262e+01,-1.18969425e+02,1
-1.02032186e+02,-2.85194302e+02,1
-8.47091361e+01,-2.01093817e+02,1
1.51763639e+02,-2.66879904e+02,2
-1.11435394e+02,-1.68858539e+02,1
-6.73910345e+01,-1.34454795e+02,1
1.35773035e+02,4.20072074e+02,1
-9.00903269e+01,-1.22668836e+02,1
1.29840820e+02,-1.82697248e+02,2
-6.33993472e+01,-1.82279338e+02,1
-9.22589094e+01,-1.81497334e+02,1
1.35699861e+02,4.29690479e+02,0
1.13165023e+02,-1.46969397e+02,2
1.61265544e+02,-2.38743818e+02,2
-1.14177094e+02,-1.55417139e+02,1
1.43313952e+02,-2.35544779e+02,2
1.27054504e+02,4.56610509e+02,0
-1.05684720e+02,-1.50722561e+02,1
1.49393259e+02,3.86779346e+02,0
-1.11458914e+02,-1.66201753e+02,1
1.23446535e+02,5.13754074e+02,0
1.22661235e+02,4.84296495e+02,0
-3.00589873e+01,-1.88073610e+02,1
-1.16332876e+02,6.73822487e+01,1
-7.66838723e+01,-2.64241576e+02,1
-7.29639933e+01,-1.87468498e+02,1
-8.14497855e+01,-1.38018312e+02,1
1.32990619e+02,4.80311069e+02,0
1.43131838e+02,-2.38788385e+02,2
1.37712788e+02,4.30682074e+02,0
1.29248781e+02,4.40828450e+02,0
-9.48568197e+01,-1.01347679e+02,1
1.32147207e+02,4.42011576e+02,0
-1.56394780e+02,-2.11194196e+02,1
1.27459805e+02,4.52645116e+02,0
1.23811406e+02,5.00238741e+02,0
1.46479136e+02,3.87848361e+02,0
9.81904289e+01,-1.17972333e+02,2
-1.24920638e+02,-8.57210069e+01,1
1.98383969e+02,-2.14885269e+02,2
-1.16737074e+02,-1.67431195e+02,1
-1.47781140e+02,-2.13487053e+02,1
1.27859555e+02,-1.86611287e+02,2
-1.30680691e+02,-1.90195286e+02,1
1.43978179e+02,4.08791018e+02,0
1.33757441e+02,4.41500559e+02,0
-1.25655555e+02,-1.73412247e+02,1
1.49213160e+02,-2.61342859e+02,2
1.32317963e+02,4.66455907e+02,0
1.19168711e+02,5.32195171e+02,1
1.33602473e+02,4.80845861e+02,0
1.30159346e+02,4.54721753e+02,0
-6.15415325e+01,-2.54723492e+02,1
-1.26781977e+02,-2.96631851e+02,1
1.22116694e+02,4.97953725e+02,0
-6.18711310e+01,-1.50997268e+02,1
1.49256421e+02,3.75165956e+02,0
1.52941644e+02,-1.71683242e+02,2
1.21564756e+02,-1.26430687e+02,2
1.46417934e+02,-1.92651077e+02,2
-9.84928436e+01,-2.29561358e+02,1
1.29474456e+02,4.47476380e+02,0
1.23774571e+02,-2.53064348e+02,2
-1.14270869e+02,-2.43345166e+02,1
-1.74524237e+02,-3.80430667e+02,1
1.97617072e+02,-1.88277602e+02,2
-1.32025787e+02,-1.93067730e+02,1
1.17429983e+02,5.05892214e+02,0
1.66140565e+02,-1.85770385e+02,2
1.63929311e+02,-1.81487191e+02,2
1.29511729e+02,4.73203515e+02,0
1.46542999e+02,3.53903109e+02,0
1.31340813e+02,-2.13784447e+02,2
1.23373376e+02,-1.49397907e+02,2
-1.43840584e+02,-6.60608115e+01,1
1.60191558e+02,-1.66983150e+02,2
1.52578702e+02,-2.35936654e+02,2
-5.52680584e+01,-1.50556113e+02,1
1.20481151e+02,-1.98309066e+02,2
1.54322050e+02,3.31648660e+02,0
1.62483699e+02,3.22790508e+02,0
-1.22345137e+02,-2.38119034e+02,1
1.66431688e+02,2.58972913e+02,0
-1.05630784e+02,-1.80382349e+02,1
1.46292031e+02,-9.31729734e+01,2
1.00263083e+02,-1.95360947e+02,2
1.14966386e+02,5.15563925e+02,0
9.41139090e+01,-1.35336240e+02,2
1.16104575e+02,-1.32952649e+02,2
-1.51370791e+02,-2.76767614e+02,1
-8.91940256e+01,-1.88060554e+02,1
1.44787213e+02,-1.45217719e+02,2
-1.87210386e+02,-3.54560940e+02,1
-1.02540116e+02,-1.81649198e+02,1
1.54793223e+02,-1.98748217e+02,2
-9.38095527e+01,-1.20308212e+01,1
-4.53923032e+01,-5.04592351e+01,1
1.82680304e+02,-2.04643656e+02,2
1.70811278e+02,-2.67583457e+02,2
-6.57342820e+01,-2.17292210e+02,1
-1.32760674e+02,-2.26691257e+02,1
1.13546234e+02,5.43036836e+02,0
1.35137875e+02,-1.67775241e+02,2
-1.00293615e+02,-8.57196205e+01,1
1.34808582e+02,-2.06458953e+02,2
-7.11243832e+01,-2.53079375e+02,1
1.23439347e+02,-1.73541641e+02,2
1.18927860e+02,5.57847372e+02,0
-1.03730310e+02,-2.59990220e+02,1
1.04825160e+02,-2.07556253e+02,2
-1.18241639e+02,-1.71306548e+02,1
1.22151120e+02,4.86287399e+02,0
1.25229290e+02,-2.85626948e+02,2
1.48613253e+02,3.47445176e+02,0
1.39192519e+02,4.02411171e+02,0
-1.82643463e+01,-1.73650547e+02,1
-1.11697110e+02,-3.03110677e+02,1
-1.29335397e+02,1.53053254e+01,1
1.09709242e+02,-1.22953558e+02,2
-1.69537844e+02,-5.55060765e+01,1
9.90460427e+01,-1.98894459e+02,1
1.80355017e+02,-3.30542541e+02,2
1.37121242e+02,4.41515141e+02,0
-7.05697115e+01,-1.80588480e+02,1
1.27913742e+02,4.69814095e+02,0
1.23998157e+02,-2.11924639e+02,2
1.25919098e+02,5.18763702e+02,0
1.41337020e+02,3.87177061e+02,0
1.50279010e+02,3.65460518e+02,0
1.31897448e+02,-1.95033897e+02,2
1.25772674e+02,4.95158355e+02,0
1.21156694e+02,4.95165607e+02,0
1.33435680e+02,4.51746440e+02,0
-1.40842618e+02,-1.30333393e+02,0
-1.05115560e+02,-2.51039341e+01,1
1.01562460e+02,-1.03408321e+02,2
1.16773312e+02,-1.30554519e+02,2
1.40766694e+02,-2.04816750e+02,2
1.34579711e+02,-2.84082498e+02,2
1.58460654e+02,2.99431194e+02,0
-9.65345593e+01,-1.94741438e+02,1
1.22042711e+02,4.69704543e+02,0
-8.94558601e+01,-1.20450418e+02,1
1.54493203e+02,-1.67722262e+02,2
-1.01337188e+02,-2.05827590e+02,1
1.34089213e+02,-2.43760685e+02,2
-9.95000472e+01,-2.76498658e+01,0
1.31343467e+02,4.10797877e+02,0
1.42103346e+02,-2.10713911e+02,2
-2.97830439e+01,2.72721954e+01,1
1.43130451e+02,4.00687264e+02,0
-6.23668982e+01,-1.93368984e+02,1
1.33663932e+02,4.42146253e+02,0
1.40402700e+02,4.09583422e+02,0
-1.12395893e+02,-3.27437674e+02,1
2.24686391e+01,-7.96371450e+01,1
1.05411694e+02,-1.78489776e+02,2
1.46423796e+02,-2.55196937e+02,2
1.16233139e+02,-9.68306750e+01,2
1.31421654e+02,4.67312894e+02,0
1.40254805e+02,-1.90338744e+02,2
1.22636246e+02,-1.48720248e+02,2
1.44589779e+02,3.39773090e+02,0
-3.19259264e+01,-6.37231098e+01,1
-7.97755531e+01,-2.49321475e+02,1
1.21255396e+02,4.94616663e+02,0
-9.80099180e+01,-2.38667247e+02,2
1.39295665e+02,-1.61595324e+02,2
1.34323442e+02,4.44131761e+02,0
1.26040921e+02,-1.80232395e+02,2
1.22439966e+02,-1.66330726e+02,2
1.41799663e+02,-1.87965884e+02,2
-1.24438591e+02,-2.07094092e+02,1
-1.39353149e+02,9.69287992e-01,1
-6.00455126e+01,-3.00471497e+02,1
-1.36945536e+02,-9.32559678e+01,0
1.31659439e+02,-2.52742553e+02,2
1.19161009e+02,5.16364715e+02,0
1.34409988e+02,4.36710423e+02,0
-1.06825292e+02,-8.24964604e+01,1
1.35570626e+02,4.17590483e+02,0
1.25233388e+02,-1.40812365e+02,2
1.05666941e+02,-1.99816501e+02,2
1.57503252e+02,-2.17346515e+02,2
1.46101209e+02,3.69351201e+02,0
1.40068737e+02,4.03728374e+02,0
1.36691352e+02,4.26437287e+02,0
-8.75501486e+01,-1.99847002e+02,1
-1.31491125e+02,-5.45551344e+01,1
1.17171979e+02,-1.70590240e+02,2
-1.28655845e+02,-3.40860322e+02,1
1.04120304e+02,-1.44226932e+02,2
-1.68582423e+02,-2.18190957e+02,1
1.40908784e+02,4.26648259e+02,0
1.30629125e+02,4.82243676e+02,0
-1.43269909e+02,-1.50289838e+02,1
-1.93130074e+02,-1.32592144e+02,1
-7.89610357e+01,-2.33887216e+02,1
-1.48824503e+02,-5.18524260e+01,1
-9.38231026e+01,-2.13196807e+02,1
1.57623650e+02,3.39850737e+02,0
-1.02200444e+02,-1.47083387e+02,1
-1.28391506e+02,1.03864013e+02,1
1.47947841e+02,-2.16070003e+02,2
1.34652921e+02,4.51884030e+02,0
9.42043858e+01,-1.36228407e+02,0
1.19390815e+02,-2.31328043e+02,2
-1.24186617e+02,-5.99368061e+01,1
1.59375294e+02,-2.63055807e+02,2
-6.16975383e+01,-2.87870491e+02,1
1.31162680e+02,-1.74237588e+02,2
1.26954408e+02,4.88071751e+02,0
-1.08581403e+02,-3.14193581e+02,1
-1.72621955e+02,-3.41662137e+02,1
1.36478903e+02,4.32551558e+02,0
1.32785797e+02,4.54355342e+02,0
1.61002302e+02,-1.99709757e+02,2
1.34440149e+02,4.72386033e+02,0
-8.69037978e+01,-2.12048675e+02,1
1.30516959e+02,4.19885715e+02,0
1.32834079e+02,4.34315492e+02,0
1.50716521e+02,-2.07094843e+02,2
-1.08437441e+02,-2.37506442e+02,1
-4.54066930e+01,-2.62958402e+02,2
-1.41920732e+02,-3.62567155e+02,1
1.14166064e+02,5.59927731e+02,0
1.46873293e+02,-1.82377390e+02,2
1.18218833e+02,-1.93242499e+02,2
-9.78785894e+01,-2.48332323e+02,1
1.14898451e+02,-1.89785508e+02,2
1.41097555e+02,3.77313268e+02,0
1.37942114e+02,4.48200120e+02,0
-6.11822526e+01,-1.97981285e+02,1
-1.02296972e+02,-1.34697573e+02,1
1.28189065e+02,-1.89991503e+02,0
-1.45111330e+02,-4.45879932e+01,1
1.13590340e+02,-1.95432175e+02,2
1.47110445e+02,3.89658457e+02,0
1.20948699e+02,-1.62058572e+02,2
-9.53855826e+01,-2.58019278e+02,1
1.46455579e+02,3.92397809e+02,0
-8.86482388e+01,-2.68032845e+02,1
-1.21341399e+02,-3.31497202e+02,1
1.49829401e+02,-2.33804117e+02,2
1.22413448e+02,5.00048953e+02,0
1.37756943e+02,4.46094939e+02,0
1.17921424e+02,5.10679642e+02,0
1.21328530e+02,4.69782496e+02,0
-1.22116935e+02,-1.81305130e+02,1
-5.29088079e+01,-2.14412086e+02,1
1.16217791e+02,-2.05726245e+02,2
1.37306661e+02,-1.81064444e+02,2
1.34764905e+02,4.79739769e+02,0
-1.04103516e+02,-1.30938737e+02,1
1.24257643e+02,-1.28210120e+02,2
-1.57803185e+02,-2.98798779e+02,1
-7.83525147e+01,-3.30293174e+02,1
1.40153289e+02,-2.28059149e+02,2
1.41428026e+02,4.07536261e+02,0
1.45322388e+02,3.59958713e+02,0
1.33814626e+02,4.52769495e+02,0
-9.81654343e+01,7.30863574e+01,1
1.38720483e+02,4.13823999e+02,0
1.25455998e+02,4.75492461e+02,0
1.17162269e+02,5.50555884e+02,0
1.30930510e+02,4.61386667e+02,0
-4.21300753e+01,-2.32935134e+02,1
1.27320310e+02,-1.58915422e+02,2
1.32868003e+02,4.52257662e+02,0
-2.83749184e+01,-3.83540794e+02,1
1.50636318e+02,3.56401972e+02,0
1.07418565e+02,-1.21702058e+02,2
-6.00701325e+01,4.98517473e+01,1
1.25404789e+02,4.65485799e+02,0
1.28298044e+02,4.97892332e+02,0
-1.34878508e+02,-2.51675423e+02,1
-7.75253126e+01,-2.79397458e+02,1
-5.22582521e+01,-1.98939191e+02,1
-7.93170925e+01,-1.63863141e+02,1
-7.24884870e+01,-1.58524260e+02,1
9.67851398e+01,6.48480172e+02,0
-1.03364153e+02,-2.26493304e+02,1
1.61487975e+02,-2.16727527e+02,2
1.39709733e+02,-2.14778847e+02,2
1.41354448e+02,3.90670489e+02,0
1.27163122e+02,4.66072268e+02,0
1.58186587e+02,2.97545252e+02,0
1.35691492e+02,-1.99638048e+02,2
1.38102088e+02,4.12199180e+02,0
1.49258910e+02,3.47337389e+02,0
1.40193994e+02,3.85907116e+02,0
1.06708079e+02,-1.71743945e+02,1
1.08997083e+02,-1.62567745e+02,2
-1.15798931e+02,-2.12829339e+02,1
1.15371682e+02,-2.17522621e+02,2
1.42267246e+02,-1.21743385e+02,2
1.40557318e+02,4.20137846e+02,0
1.30620937e+02,-1.88680868e+02,2
-8.55334344e+01,-1.39446872e+02,1
1.38194469e+02,4.17982279e+02,0
-1.14857269e+02,-8.73270134e+01,1
-9.16601034e+01,-1.55085399e+01,1
-1.55189511e+02,-3.65210781e+02,1
1.26075056e+02,4.96783055e+02,0
1.22544927e+02,-1.92865281e+02,2
1.62418236e+02,-2.52468596e+02,2
-9.02507258e+01,-1.00774376e+02,1
1.22701453e+02,5.33745851e+02,0
1.48269427e+02,-1.88913593e+02,2
1.25351978e+02,-1.73875451e+02,2
-8.51017053e+01,-2.67455980e+02,1
-7.58293640e+01,-7.86848133e+01,1
-1.19307791e+02,-3.61406368e+02,1
-7.02992410e+01,-1.53238978e+02,1
-1.41049267e+02,-1.55656914e+02,1
1.40005949e+02,4.24614974e+02,0
1.45388427e+02,-2.03380507e+02,2
1.33780560e+02,4.47938422e+02,0
1.41075724e+02,3.96175966e+02,0
1.32593540e+02,4.24915214e+02,0
-8.39431316e+01,-2.02966407e+02,1
1.43216698e+02,3.92183386e+02,0
-4.47568757e+01,-3.93015651e+02,1
1.39739373e+02,-2.18471663e+02,2
-7.26994751e+01,-1.11160697e+02,1
1.26150414e+02,5.02966418e+02,0
1.22046530e+02,-1.45954898e+02,2
1.27649557e+02,4.97445598e+02,0
1.80421016e+02,-2.66666865e+02,2
-1.04897718e+02,-1.35416269e+02,1
1.31125500e+02,4.47063965e+02,0
8.55881252e+01,-2.38723712e+02,2
